bssid,gps_text
66:20:e3:97:cc:48,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
66:20:e3:9b:45:7e,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
a8:42:a1:c8:13:5b,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
ca:42:a1:c8:13:5b,Lat: 13.681455715200117, Lng: 100.61053743444579, Accuracy: 9.071986m
44:12:44:02:0b:70,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
22:08:89:7b:a2:6e,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
66:20:e3:91:a5:c6,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
44:12:44:02:0b:71,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
5a:4f:3b:e5:29:6b,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
64:20:e1:58:99:ae,Lat: 13.681444464036652, Lng: 100.61056887810564, Accuracy: 4.9m
78:8a:20:54:15:52,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
66:20:e1:1e:fb:1e,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
64:20:e3:3b:45:7f,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
64:20:e3:82:aa:8f,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
66:20:e3:9d:7a:ae,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
66:20:e1:90:33:7e,Lat: 13.681444464036652, Lng: 100.61056887810564, Accuracy: 4.9m
10:5f:02:e7:81:82,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
82:8a:20:55:15:52,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
7e:8a:20:55:15:52,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
5a:4f:3b:e5:33:53,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
44:d9:e7:f8:29:d0,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
66:20:e3:1b:90:1e,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
48:81:d4:0d:a0:43,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
64:20:e3:d7:cc:49,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
f8:53:29:ed:bf:5b,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
