collection_id,username,sample_id,captured_at,gps_text,wifi_count,bssid,ssid,rssi_dbm,frequency_mhz,channel,band,security,wifi_standard,merged_count
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,a5db200f-ee79-4ae6-9e01-ca85ef1c9ba1,2026-04-03 01:17:31,"Lat: 13.6809694, Lng: 100.6103321, Accuracy: 41.282m",22,2c:08:8c:bb:e7:12,WWAA58_2G,-85,2422,3,2.4 GHz,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][K][V][WPA-PSK-CCMP+TKIP][K][V][ESS],Unknown,20
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,a5db200f-ee79-4ae6-9e01-ca85ef1c9ba1,2026-04-03 01:17:31,"Lat: 13.6809694, Lng: 100.6103321, Accuracy: 41.282m",22,66:20:e3:95:b7:16,ndoizx_5G,-85,5180,36,5 GHz,[WPA2-PSK-CCMP][RSN-PSK-CCMP][K][V][ESS][WPS],Unknown,20
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,a5db200f-ee79-4ae6-9e01-ca85ef1c9ba1,2026-04-03 01:17:31,"Lat: 13.6809694, Lng: 100.6103321, Accuracy: 41.282m",22,20:08:89:83:6a:ff,Sunsanee 5G,-86,5220,44,5 GHz,[WPA2-PSK-CCMP][RSN-PSK-CCMP][K][V][ESS][WPS],Unknown,20
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,a5db200f-ee79-4ae6-9e01-ca85ef1c9ba1,2026-04-03 01:17:31,"Lat: 13.6809694, Lng: 100.6103321, Accuracy: 41.282m",22,7a:53:0d:12:00:d1,Yamada_2.4G,-88,2462,11,2.4 GHz,[WPA2-PSK-CCMP][RSN-PSK-CCMP][K][V][ESS][WPS],Unknown,20
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,a5db200f-ee79-4ae6-9e01-ca85ef1c9ba1,2026-04-03 01:17:31,"Lat: 13.6809694, Lng: 100.6103321, Accuracy: 41.282m",22,f8:af:db:fe:a0:b4,ruji_shiro_2.4G,-88,2462,11,2.4 GHz,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][RSN-PSK-TKIP+CCMP][ESS],Unknown,20
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,a5db200f-ee79-4ae6-9e01-ca85ef1c9ba1,2026-04-03 01:17:31,"Lat: 13.6809694, Lng: 100.6103321, Accuracy: 41.282m",22,cc:4e:ec:42:74:a0,Boonyoke 5G,-91,5785,157,5 GHz,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][K][V][WPA-PSK-CCMP+TKIP][K][V][ESS],Unknown,40
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,a5db200f-ee79-4ae6-9e01-ca85ef1c9ba1,2026-04-03 01:17:31,"Lat: 13.6809694, Lng: 100.6103321, Accuracy: 41.282m",22,ba:5d:c3:02:04:d2,<hidden>,-92,5500,100,5 GHz,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][K][V][WPA-PSK-CCMP+TKIP][K][V][ESS],Unknown,96
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,a5db200f-ee79-4ae6-9e01-ca85ef1c9ba1,2026-04-03 01:17:31,"Lat: 13.6809694, Lng: 100.6103321, Accuracy: 41.282m",22,4c:ed:fb:3c:56:b4,Hill High Bridge_AP_5G,-93,5745,149,5 GHz,[WPA-PSK-CCMP+TKIP][V][WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][V][ESS][WPS],Unknown,96
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,4b52212a-2a78-4306-aa02-8fa019fb3b7a,2026-04-03 01:17:52,"Lat: 13.6809694, Lng: 100.6103321, Accuracy: 41.282m",27,e6:dc:cc:db:15:30,Meowmeowmtf2,-56,2437,6,2.4 GHz,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][K][V][WPA-PSK-CCMP+TKIP][K][V][ESS][WPS],Unknown,20
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,4b52212a-2a78-4306-aa02-8fa019fb3b7a,2026-04-03 01:17:52,"Lat: 13.6809694, Lng: 100.6103321, Accuracy: 41.282m",27,30:fb:b8:fc:05:60,KWAN51_5G,-63,5745,149,5 GHz,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][K][V][WPA-PSK-CCMP+TKIP][K][V][ESS][WPS],Unknown,30
