collection_id,username,sample_id,captured_at,gps_text,wifi_count,bssid,ssid,rssi_dbm,frequency_mhz,channel,band,security,wifi_standard,address
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,4d121375-6772-4588-9fcd-ac3062220edb,2026-04-03 01:20:02,"Lat: 13.681353869053783, Lng: 100.61025550930052, Accuracy: 4.7m",99,66:20:e3:9b:6c:56,zenganne_5G,-87,5785,157,5 GHz,[WPA2-PSK-CCMP][RSN-PSK-CCMP][K][V][ESS][WPS],,Sukhumvit Road - Bang Na District - Bangkok - Thailand
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,cac7899e-a604-4da7-86a8-7d3710932c64,2026-04-03 01:19:32,"Lat: 13.681700485597538, Lng: 100.61034023153114, Accuracy: 6.235547m",121,94:46:96:54:58:a3,OATTSU_5G,-91,5785,157,5 GHz,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][RSN-PSK-TKIP+CCMP][ESS][WPS],,Sukhumvit Road - Bang Na District - Bangkok - Thailand
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,cac7899e-a604-4da7-86a8-7d3710932c64,2026-04-03 01:19:32,"Lat: 13.681700485597538, Lng: 100.61034023153114, Accuracy: 6.235547m",121,66:20:e3:9c:f1:48,Dortmund_5G,-91,5745,149,5 GHz,[WPA2-PSK-CCMP][RSN-PSK-CCMP][K][V][ESS][WPS],,Sukhumvit Road - Bang Na District - Bangkok - Thailand
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,cac7899e-a604-4da7-86a8-7d3710932c64,2026-04-03 01:19:32,"Lat: 13.681700485597538, Lng: 100.61034023153114, Accuracy: 6.235547m",121,64:20:e3:ec:f1:49,<hidden>,-91,5745,149,5 GHz,[WPA2-PSK-CCMP][RSN-PSK-CCMP][K][V][ESS],,Sukhumvit Road - Bang Na District - Bangkok - Thailand
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,cac7899e-a604-4da7-86a8-7d3710932c64,2026-04-03 01:19:32,"Lat: 13.681700485597538, Lng: 100.61034023153114, Accuracy: 6.235547m",121,14:ca:56:f9:8f:e2,MON_5G,-91,5580,116,5 GHz,[WPA-PSK-CCMP][K][V][WPA2-PSK-CCMP][RSN-PSK-CCMP][K][V][ESS][WPS],,Sukhumvit Road - Bang Na District - Bangkok - Thailand
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,4f300f66-fbd2-4ef5-bf06-2cbb4b4a113e,2026-04-03 01:20:40,"Lat: 13.680905139966903, Lng: 100.61010832580418, Accuracy: 4.7m",77,4a:d6:82:4d:04:4b,<hidden>,-69,5560,112,5 GHz,[WPA-PSK-CCMP][K][V][WPA2-PSK-CCMP][RSN-PSK-CCMP][K][V][ESS],,Soi Udom Suk 3 - Bang Na District - Bangkok - Thailand
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,cac7899e-a604-4da7-86a8-7d3710932c64,2026-04-03 01:19:32,"Lat: 13.681700485597538, Lng: 100.61034023153114, Accuracy: 6.235547m",121,5c:64:f1:68:f9:ed,WFMA21,-91,5500,100,5 GHz,[WPA2-PSK-CCMP][RSN-PSK-CCMP][K][V][R][ESS],,Sukhumvit Road - Bang Na District - Bangkok - Thailand
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,cac7899e-a604-4da7-86a8-7d3710932c64,2026-04-03 01:19:32,"Lat: 13.681700485597538, Lng: 100.61034023153114, Accuracy: 6.235547m",121,5c:64:f1:68:f9:ea,WFMB24,-91,5500,100,5 GHz,[WPA2-PSK-CCMP][RSN-PSK-CCMP][K][V][R][ESS],,Sukhumvit Road - Bang Na District - Bangkok - Thailand
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,4d121375-6772-4588-9fcd-ac3062220edb,2026-04-03 01:20:02,"Lat: 13.681353869053783, Lng: 100.61025550930052, Accuracy: 4.7m",99,c6:eb:ff:4d:af:e4,<hidden>,-85,5300,60,5 GHz,[WPA-PSK-CCMP][K][V][WPA2-PSK-CCMP][RSN-PSK-CCMP][K][V][ESS],,Sukhumvit Road - Bang Na District - Bangkok - Thailand
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,cac7899e-a604-4da7-86a8-7d3710932c64,2026-04-03 01:19:32,"Lat: 13.681700485597538, Lng: 100.61034023153114, Accuracy: 6.235547m",121,c6:eb:ff:4d:a9:00,<hidden>,-91,5300,60,5 GHz,[WPA-PSK-CCMP][K][V][WPA2-PSK-CCMP][RSN-PSK-CCMP][K][V][ESS],,Sukhumvit Road - Bang Na District - Bangkok - Thailand
